fragment_id,fragment_name,bottom_text_features,bottom_damaged,bottom_layered,bottom_vertical_pattern,top_text_features,top_damaged,top_layered,top_vertical_pattern
1,0,0,0,0,1,0,0,0,1
2,1,0,1,0,1,0,0,0,1
3,4,1,0,0,0,0,1,0,0
4,5,0,0,0,1,0,0,0,1
5,7,0,1,0,1,0,1,0,1
6,11,0,0,1,0,0,0,0,0
7,15,0,0,0,0,0,0,0,0
8,21,1,0,0,0,1,0,0,0
9,23,0,0,0,0,0,0,0,0
10,27,1,0,0,1,1,0,0,1
11,30,0,1,0,0,0,1,0,0
12,38,0,1,1,0,0,0,0,0
13,39,1,0,1,1,1,1,0,1
14,41,1,0,0,0,1,0,0,0
15,43,0,0,0,0,0,0,0,0
16,46,1,0,0,1,1,0,0,1
17,47,1,0,0,0,1,0,0,1
18,51,0,0,0,1,0,0,0,1
19,52,1,0,0,0,1,0,0,0
20,53,0,0,0,1,0,0,0,0
21,55,0,0,0,1,0,0,0,1
22,56,1,0,0,1,1,0,0,1
23,57,0,0,0,0,0,1,0,0
24,58,0,0,0,0,0,0,0,0
25,59,1,1,0,1,1,1,0,1
26,68,0,0,0,1,0,0,0,1
27,69,1,1,0,0,1,1,0,0
28,70,0,0,0,1,0,0,0,1
29,74,1,1,0,1,1,1,0,1
30,76,1,0,0,1,1,0,0,1
31,81,1,1,0,1,1,0,0,1
32,90,0,0,1,0,0,0,0,0
33,98,1,0,0,1,1,0,0,1
34,101,1,1,0,1,1,1,0,1
35,102,0,0,0,0,0,0,0,0
36,105,0,0,0,1,0,0,0,1
37,110,0,1,0,0,0,1,0,0
38,111,0,0,0,0,0,0,0,0
39,112,1,0,1,0,1,0,0,0
40,114,1,0,1,0,1,0,0,0
41,118,0,0,0,0,1,1,0,1
42,120,0,0,0,0,1,1,0,1
43,121,0,0,0,0,0,0,0,0
44,125,0,1,0,0,0,0,0,0
45,128,1,0,0,0,1,0,0,0
46,129,0,0,0,1,0,0,0,0
47,138,0,1,0,1,0,0,0,1
48,140,0,1,0,0,0,1,0,0
49,145,1,1,0,1,1,1,0,1
50,146,1,1,0,1,1,1,0,1
51,149,1,1,0,0,1,1,0,0
52,150,1,0,0,0,1,0,0,0
53,151,1,1,0,0,1,1,0,0
54,152,0,1,0,0,0,0,0,0
55,155,0,0,0,0,0,0,0,0
56,159,0,0,0,1,0,0,0,1
57,163,1,0,0,1,1,0,0,1
58,165,0,1,1,0,0,1,1,0
59,168,1,1,0,0,1,1,0,0
60,169,1,0,0,1,1,0,0,1
61,172,0,0,0,1,0,0,0,1
62,173,0,0,0,0,0,0,0,0
63,175,1,0,0,0,1,0,0,0
64,176,1,1,0,0,1,1,0,0
65,181,0,0,0,1,0,0,0,1
66,185,0,0,1,1,0,0,0,1
67,187,0,0,0,1,0,1,0,1
68,188,0,0,0,1,0,0,0,1
69,191,0,0,0,0,0,1,0,0
70,192,1,0,0,1,1,0,0,1
71,194,1,0,0,1,1,0,0,1
72,201,1,0,0,0,1,0,0,0
73,204,1,0,0,1,1,0,0,1
74,206,1,0,0,1,0,0,0,1
75,207,1,0,0,1,1,0,0,1
76,208,0,0,0,0,0,0,0,1
77,210,0,0,0,0,0,0,0,0
78,212,0,0,0,0,0,0,0,0
79,213,0,1,0,0,0,1,0,0
80,214,1,0,0,0,1,0,0,0
81,216,1,0,0,1,1,0,0,1
82,217,1,0,0,0,1,0,0,0
83,219,1,1,0,1,1,0,1,1
84,220,0,1,0,1,0,1,0,1
85,221,0,0,0,1,0,0,0,1
86,222,0,0,0,1,0,0,0,0
87,224,0,0,0,0,0,0,0,0
88,225,0,0,0,1,0,0,0,1
89,226,0,0,0,1,0,0,0,1
90,229,1,0,0,0,1,0,0,0
91,232,1,0,0,0,1,0,0,0
92,234,0,1,0,1,0,0,0,0
93,235,1,1,0,1,1,1,0,1
94,236,0,0,0,1,0,0,0,0
95,237,1,0,0,1,1,0,0,1
96,238,1,1,0,0,1,1,0,0
97,240,1,0,0,1,1,0,0,1
98,241,0,0,0,0,0,0,0,0
99,246,0,1,0,0,0,1,0,0
100,247,1,1,0,0,1,1,0,0
101,249,1,0,0,0,1,0,0,0
102,251,1,0,0,0,1,0,0,0
103,253,1,0,0,0,1,0,0,0
104,254,1,0,0,0,1,0,0,0
105,255,0,0,0,0,0,0,0,0
106,256,0,0,1,1,0,0,0,1
107,258,1,0,0,0,1,0,0,0
108,259,1,0,0,1,1,0,0,1
109,260,1,0,0,1,1,1,0,1
110,262,0,0,0,1,0,0,0,1
111,263,1,1,0,1,1,1,0,1
112,264,0,0,0,0,0,0,0,0
113,265,1,0,0,0,1,0,0,0
114,266,1,1,0,0,1,1,0,0
115,267,0,0,0,1,0,0,0,1
116,268,1,0,0,0,1,0,0,0
117,272,1,0,0,0,1,0,0,0
118,274,0,0,0,0,0,0,0,0